hHostNameFinal,hHostNameIUCN,hHostNameIUCN_spatial,hHostNameST,hFamily,Synonyms,hIUCNstatus,IUCNmap,Diet,area_sqm,area_sqkm,hMassGrams,PVRST_resid_Mass,cave_status,roosting_behavior,roosting_reference,PubMed_hits,s_PMpublications,PubMedtotal,n_virus_str,n_virus_sera,n_virus_total,prop_virus_str_total,sympatric_species,str_sympatric_species,n_coroosters,sharedhosts,sharedhosts_str
Dobsonia_moluccensis,Dobsonia_moluccensis,Dobsonia_moluccensis,Dobsonia_moluccensis,PTEROPODIDAE,Dobsonia magma,LC,YES,Frugivore,40050548785,40050.54879,447.64,1.030757667,facultative,cave_roosting,1,2,0,2,0,1,1,0,12,NA,NA,8,0
Eidolon_dupreanum,Eidolon_dupreanum,Eidolon_dupreanum,Eidolon_dupreanum,PTEROPODIDAE,NA,VU,YES,Frugivore,4.62E+11,461986.7672,297.58,0.500454994,facultative,cave_roosting,"1,30",6,0,6,0,2,2,0,4,NA,NA,18,0
Rousettus_aegyptiacus,Rousettus_aegyptiacus,Rousettus_aegyptiacus,Rousettus_aegyptiacus,PTEROPODIDAE,Rousettus egyptiacus  |Rousettus egyptiacus  |Rousettus egyptiacus,LC,YES,Frugivore,4.09E+12,4094543.152,134,-0.329178943,facultative,cave_roosting,72,132,0,132,9,2,11,0.818181818,35,33,2,40,30
Rousettus_amplexicaudatus,Rousettus_amplexicaudatus,Rousettus_amplexicaudatus,Rousettus_amplexicaudatus,PTEROPODIDAE,NA,LC,YES,Frugivore,4.31E+12,4308473.157,74.37,-0.917966108,facultative,cave_roosting,1,6,0,6,1,2,3,0.333333333,51,39,5,15,3
Rousettus_leschenaultii,Rousettus_leschenaultii,Rousettus_leschenaultii,Rousettus_leschenaultii,PTEROPODIDAE,Eleutherura fusca  |Pteropus leschenaultii  |Rousettus affinis  |Rousettus fuliginosa  |Rousettus fusca  |Rousettus infuscata  |Rousettus leschenaulti  |Rousettus marginatus  |Rousettus pirivarus  |Rousettus pyrivorus  |Rousettus seminudus  |Rousettus shortridgei  |Xantharpyia seminuda,LC,YES,Frugivore,6.80E+12,6798300.838,84.88,-0.785780249,facultative,cave_roosting,1,10,26,36,6,7,13,0.461538462,55,45,NA,54,19
Rousettus_madagascariensis,Rousettus_madagascariensis,Rousettus_madagascariensis,Rousettus_madagascariensis,PTEROPODIDAE,NA,NT,YES,Frugivore,2.94E+11,294388.6074,65.72,-1.04161545,facultative,cave_roosting,1,4,0,4,0,1,1,0,4,NA,3,1,0
Rhinolophus_blasii,Rhinolophus_blasii,Rhinolophus_blasii,Rhinolophus_blasii,RHINOLOPHIDAE,NA,LC,YES,Insectivore,3.42E+12,3420945.17,10.29,0.018265502,facultative,cave_roosting,133,3,0,3,1,0,1,1,42,37,1,7,7
Rhinolophus_eloquens,Rhinolophus_eloquens,Rhinolophus_eloquens,Rhinolophus_eloquens,RHINOLOPHIDAE,Rhinolophus eloquens subspecies perautitus,LC,YES,Insectivore,7.17E+11,716779.7133,19.15,0.639395668,facultative,cave_roosting,143,0,0,0,2,0,2,1,21,20,NA,3,3
Rhinolophus_euryale,Rhinolophus_euryale,Rhinolophus_euryale,Rhinolophus_euryale,RHINOLOPHIDAE,NA,NT,YES,Insectivore,3.00E+12,2996521.236,9.25,-0.085903208,facultative,cave_roosting,1,3,0,3,1,0,1,1,22,21,1,7,7
Rhinolophus_ferrumequinum,Rhinolophus_ferrumequinum,Rhinolophus_ferrumequinum,Rhinolophus_ferrumequinum,RHINOLOPHIDAE,NA,LC,YES,Insectivore,9.77E+12,9766007.98,22.59,0.804600283,facultative,cave_roosting,1,96,0,96,6,2,8,0.75,60,51,2,61,28
Rhinolophus_hildebrandtii,Rhinolophus_hildebrandtii,Rhinolophus_hildebrandtii,Rhinolophus_hildebrandtii,RHINOLOPHIDAE,NA,LC,YES,Insectivore,3.20E+12,3203948.774,11.78181818,0.153650463,facultative,cave_roosting,"1,70",2,0,2,1,0,1,1,22,21,2,1,1
Rhinolophus_lepidus,Rhinolophus_lepidus,Rhinolophus_lepidus,Rhinolophus_lepidus,RHINOLOPHIDAE,NA,LC,YES,Insectivore,3.53E+12,3526223.416,5.46,-0.751148907,facultative,cave_roosting,133,2,0,2,1,0,1,1,51,41,NA,12,12
Rhinolophus_macrotis,Rhinolophus_macrotis,Rhinolophus_macrotis,Rhinolophus_macrotis,RHINOLOPHIDAE,NA,LC,YES,Insectivore,2.35E+12,2348803.747,6.18,-0.491588776,facultative,cave_roosting,1,4,0,4,1,0,1,1,52,42,3,7,7
Rhinolophus_mehelyi,Rhinolophus_mehelyi,Rhinolophus_mehelyi,Rhinolophus_mehelyi,RHINOLOPHIDAE,NA,VU,YES,Insectivore,1.98E+12,1981064.672,14.03,0.330671135,facultative,cave_roosting,122,5,0,5,1,0,1,1,21,20,NA,7,7
Rhinolophus_pusillus,Rhinolophus_pusillus,Rhinolophus_pusillus,Rhinolophus_pusillus,RHINOLOPHIDAE,Rhinolophus blythi  |Rhinolophus cornutus  |Rhinolophus cornutus subspecies blythi|Rhinolophus gracilis  |Rhinolophus imaizumii  |Rhinolophus minor  |Rhinolophus monoceros  |Rhinolophus perditus  |Rhinolophus pumilus,LC,YES,Insectivore,3.99E+12,3989176.6,5.15,-0.810549371,facultative,cave_roosting,"1,126",11,18,29,2,2,4,0.5,52,41,NA,28,8
